master_id,final_split,fold,file_name,orig_split,orig_image_id,source_group,source_name,md5,sha256,width,height,annotation_count,is_negative,class_names,Channel,T-beam,HI-Beam,Angle Bar,Sheet Pile
1,train,9,000001.jpg,train,348,3335c6b3-082d-4f55-b381-89b6f83418a6.jpg,3335c6b3-082d-4f55-b381-89b6f83418a6.jpg,0034054474db138dc347a32932f38d0b,252f3e1e6c009397722d6b2d6fcbc352603fc4147f6be4cb3a782ef62b533875,1080,486,230,False,Channel,230,0,0,0,0
2,train,8,000002.jpg,train,320,-2024-04-08-181403_png.jpg,-2024-04-08-181403_png.jpg,006fa9e8dcc580db3d49230c488c9d28,4516a55f62b9d4c21fade20d3f908058c065c0940be1a696c7fea7722569227f,413,225,5,False,T-beam,0,5,0,0,0
3,train,1,000003.jpg,train,589,-2024-04-09-190637.png,-2024-04-09-190637.png,0078b85d94e46a90d165c7a070483a09,e8c1af19a6c9816dbf715ef148d0fdfb973e12a72015cbd6703fed198135ca45,351,184,6,False,T-beam,0,6,0,0,0
4,train,0,000004.jpg,train,422,e17dace4-abb1-448e-9bce-f2a36f1a99c4.jpg,e17dace4-abb1-448e-9bce-f2a36f1a99c4.jpg,00c96f6556085a75a8f3c54de67832a4,d4f9bca35b242952aa27efdf4ad8b437cc2b291146108f52d58b8496acbd7784,1080,810,0,True,,0,0,0,0,0
5,train,0,000005.jpg,train,537,-2024-04-09-190750_png_jpg,-2024-04-09-190750_png_jpg,022a96b1fcbf8d2bb11247c74ab52890,f203e530814fee20d16381af462cb907a21074ed7cd4d5ceb56df3d0ec75513f,640,640,6,False,T-beam,0,6,0,0,0
6,train,4,000006.jpg,train,415,Besi-T-Beam.jpg,Besi-T-Beam.jpg,02b404606c0558ad7848c3a9a0e4eb07,5a76e01b20ea855d31be990ced06fb2555c44c05f21622511c3be25f43e75130,640,640,18,False,T-beam,0,18,0,0,0
7,train,8,000007.jpg,train,88,-2024-04-09-190619_png_jpg,-2024-04-09-190619_png_jpg,02d014d3a4b23625a88a501e366a44df,4d6e5a332aaf1207e4a39d895135940dece657728b41a21158967bd7a0b04cfa,640,640,6,False,T-beam,0,6,0,0,0
8,train,5,000008.jpg,train,321,9a4d57a2-0362-4187-bde1-e89688adc324.jpg,9a4d57a2-0362-4187-bde1-e89688adc324.jpg,0311003423fb5e9b72884cb7c7df3ad6,1d2464eff488c983d65eaebe5762602bb21c699703d0781f3cd0657331713b01,1020,574,154,False,Channel,154,0,0,0,0
9,valid,2,000009.jpg,valid,8,63425d5759c4599a8fe3dca4673630a.png,63425d5759c4599a8fe3dca4673630a.png,03a45776d93a88fff5febd9f4fc528cb,a330ad58567ebc58154bd1db3db936d62a74f65151e649dfb875139a86532461,720,500,20,False,T-beam,0,20,0,0,0
10,test,6,000010.jpg,train,333,-_20230924182518_png_jpg,-_20230924182518_png_jpg,03a90c27eb222324f89ac722a8dd54e6,feb8719215a3fbf366d05677c5ec2a60e32bc7fae2177e5c15620870ab214753,640,640,5,False,T-beam,0,5,0,0,0
11,train,8,000011.jpg,train,228,8c41814c-8_jpg,8c41814c-8_jpg,03c12f1ea165543810f0f034d0cd1e44,4a6f6919793550d75ebf5cad9813a2cfaadac3e67786da6ac1c29d5e14db5b91,640,640,35,False,Angle Bar,0,0,0,35,0
12,train,1,000012.jpg,test,6,2b13b33baf8efae5a7c98d265a29d9b_png_jpg,2b13b33baf8efae5a7c98d265a29d9b_png_jpg,03ddb2fcdff2b699210c9e5d2d0006b6,5f924a71f5dacb377b862fdbd2a7066941f4393e785d40c61d9eef93bde90040,640,640,10,False,T-beam,0,10,0,0,0
13,train,4,000013.jpg,valid,46,c53f257f-2c37-4a2c-91cf-4bdadea9f7f8.jpg,c53f257f-2c37-4a2c-91cf-4bdadea9f7f8.jpg,03e91fc384b2651a28789284b9a68c40,b6a75636f21c55cc8ac2ecbde220b07776a65f6115adb1c110c5dae2bf947eb0,540,960,154,False,Channel,154,0,0,0,0
14,train,5,000014.jpg,train,400,img_71.jpg,img_71.jpg,046699c0482af481cb028eacdc0c4266,eef2d558c5be5475782fc7553e4aea5cb06f4ca0c06a60cea9c0bb9cfee1153f,500,500,1,False,HI-Beam,0,0,1,0,0
15,train,7,000015.jpg,train,545,img_138.jpg,img_138.jpg,04e381747f60ed4e3ed48c4b77db76ec,71ee03d9d94549cf9884cc5d801da66c2930a69de22465124a8fb40c69ade7a5,401,500,2,False,HI-Beam,0,0,2,0,0
16,train,9,000016.jpg,train,581,63425d5759c4599a8fe3dca4673630a_png_jpg,63425d5759c4599a8fe3dca4673630a_png_jpg,05d38867dd4cbf8869e5cd85e916fe9b,df44a04576874fb62d77a5ea4166d75f964e392aa0d3ae604212df3b66a405d9,640,640,15,False,T-beam,0,15,0,0,0
17,train,9,000017.jpg,test,14,steelbeam148.jpg,steelbeam148.jpg,06e697aa88b2023b07b4ba5b2515e1de,3038b5102d4eecb75d4137e3b60f5b566e276c2e654f79665b46da05c052cf4c,500,667,146,False,T-beam,0,146,0,0,0
18,train,4,000018.jpg,train,444,417_original_png_jpg,417_original_png_jpg,0892f3e1fc9c1e079761dff244bd08ca,c0a69d85946491010f99061cd3bc451d1617175871951328c6ed423cb929e6d2,640,640,22,False,Angle Bar,0,0,0,22,0
19,test,6,000019.jpg,train,98,-2024-04-08-181435_png,-2024-04-08-181435_png,08a8c31b38d86082d526eecaf1507716,325f2429010495e3978dd2bb82859bf381e96efb9b6729fa969622b898f58f19,640,640,5,False,T-beam,0,5,0,0,0
20,train,5,000020.jpg,train,586,-2024-04-08-181353.png,-2024-04-08-181353.png,08b850a55004955d3fc3b1b292f356ef,6b0448ba66452600281ff625d5f171a41e088038a6e427c17ff7907702d782fe,409,268,5,False,T-beam,0,5,0,0,0
21,test,6,000021.jpg,train,226,-2024-04-10-133606_png_jpg,-2024-04-10-133606_png_jpg,08c7b17e030928224d66a02e19bcc14f,44f726b942fe9419e8bcf58f5eba0da4cefe012a7ad44040c00cc08cfb214324,640,640,3,False,T-beam,0,3,0,0,0
22,train,9,000022.jpg,train,339,103f559751e75f575b7101078f8b0fa_png_jpg,103f559751e75f575b7101078f8b0fa_png_jpg,09f4e99da7f5de452b8e00c3c70798a9,0d0902a07b1a923fce548bf929c1f8df8efe6cbee2ed0db575585240348c1913,640,640,19,False,T-beam,0,19,0,0,0
23,train,5,000023.jpg,train,544,-2024-04-08-181332_png_jpg,-2024-04-08-181332_png_jpg,0a0dd79c4fd86fed40c7cc9de770e2ff,92ab717784fad24ee11cc3fd2843d9fee735cc6b01d2f1ba74d51eb294ab65f5,640,640,5,False,T-beam,0,5,0,0,0
24,train,9,000024.jpg,valid,30,img_49.jpg,img_49.jpg,0a4bd78006c1cf9e9e8b8c0af21d75cf,9c6e179f1fa011e6e1f1790135722315f34de7e6b102cf5091010252032c6463,500,500,1,False,HI-Beam,0,0,1,0,0
25,test,6,000025.jpg,train,393,steelbeam106.jpg,steelbeam106.jpg,0a66fd677d2e416f481608255ed9d4d4,e4bc4f50f0094b5c2649a024a2424d6997ac9910815c5b1f23da8d2ed935659e,500,500,3,False,HI-Beam,0,0,3,0,0
26,train,8,000026.jpg,train,40,29e06fc8-2ab9-4e90-bfac-008bc475bc61.jpg,29e06fc8-2ab9-4e90-bfac-008bc475bc61.jpg,0a93554831b48dd788deb8e4659a4872,3bb43b18e35404935e732e96c038c3101228e37c99e34c57b916ab7c02cb9e3a,540,960,178,False,Channel,178,0,0,0,0
