source_group,n_canonical_images,original_splits,crosses_original_splits,objects_total,Channel,T-beam,HI-Beam,Angle Bar,Sheet Pile,negative_images
-2024-04-08-175454.png,1,train,False,3,0,0,3,0,0,0
-2024-04-08-175552.png,1,train,False,4,0,0,4,0,0,0
-2024-04-08-175631.png,1,test,False,2,0,0,2,0,0,0
-2024-04-08-175642.png,1,train,False,2,0,0,2,0,0,0
-2024-04-08-175651_png.jpg,1,train,False,3,0,0,3,0,0,0
-2024-04-08-175704.png,1,train,False,3,0,0,3,0,0,0
-2024-04-08-175704_png.jpg,1,train,False,3,0,0,3,0,0,0
-2024-04-08-175718_png.jpg,1,train,False,4,0,0,4,0,0,0
-2024-04-08-175806.png,1,train,False,8,0,0,8,0,0,0
-2024-04-08-175806_png.jpg,1,train,False,8,0,0,8,0,0,0
-2024-04-08-175815_png.jpg,1,train,False,4,0,0,4,0,0,0
-2024-04-08-175838.png,1,train,False,6,0,0,6,0,0,0
-2024-04-08-175857_png.jpg,1,valid,False,5,0,0,5,0,0,0
-2024-04-08-175906_png.jpg,1,train,False,2,0,0,2,0,0,0
-2024-04-08-180015_png.jpg,1,valid,False,4,0,0,4,0,0,0
-2024-04-08-180035_png.jpg,1,train,False,4,0,0,4,0,0,0
-2024-04-08-180059_png.jpg,1,train,False,3,0,0,3,0,0,0
-2024-04-08-180117.png,1,train,False,2,0,0,2,0,0,0
-2024-04-08-180117_png.jpg,1,train,False,3,0,0,3,0,0,0
-2024-04-08-180136_png.jpg,1,test,False,2,0,0,2,0,0,0
-2024-04-08-180147_png.jpg,1,test,False,3,0,0,3,0,0,0
-2024-04-08-180157_png.jpg,1,train,False,3,0,0,3,0,0,0
-2024-04-08-180928.png,1,train,False,11,0,11,0,0,0,0
-2024-04-08-180928_png.jpg,1,train,False,10,0,10,0,0,0,0
-2024-04-08-180928_png_jpg,2,train|valid,True,20,0,20,0,0,0,0
-2024-04-08-180937.png,1,test,False,10,0,10,0,0,0,0
-2024-04-08-180937_png,1,train,False,10,0,10,0,0,0,0
-2024-04-08-180937_png.jpg,1,train,False,10,0,10,0,0,0,0
-2024-04-08-180937_png_jpg,1,train,False,11,0,11,0,0,0,0
-2024-04-08-180945_png_jpg,3,train,False,30,0,30,0,0,0,0
-2024-04-08-180955.png,1,train,False,10,0,10,0,0,0,0
-2024-04-08-180955_png.jpg,1,train,False,10,0,10,0,0,0,0
-2024-04-08-180955_png_jpg,3,test|train,True,30,0,30,0,0,0,0
-2024-04-08-181001.png,1,train,False,10,0,10,0,0,0,0
-2024-04-08-181001_png,1,train,False,10,0,10,0,0,0,0
-2024-04-08-181001_png_jpg,1,train,False,10,0,10,0,0,0,0
-2024-04-08-181009.png,1,test,False,5,0,5,0,0,0,0
-2024-04-08-181009_png.jpg,1,train,False,5,0,5,0,0,0,0
-2024-04-08-181009_png_jpg,2,train,False,10,0,10,0,0,0,0
-2024-04-08-181030.png,1,train,False,4,0,4,0,0,0,0
-2024-04-08-181030_png.jpg,1,train,False,4,0,4,0,0,0,0
-2024-04-08-181030_png_jpg,4,train,False,18,0,18,0,0,0,0
-2024-04-08-181047.png,1,train,False,5,0,5,0,0,0,0
-2024-04-08-181047_png,1,train,False,5,0,5,0,0,0,0
-2024-04-08-181047_png.jpg,1,train,False,5,0,5,0,0,0,0
-2024-04-08-181047_png_jpg,2,train,False,10,0,10,0,0,0,0
-2024-04-08-181056.png,1,train,False,3,0,3,0,0,0,0
-2024-04-08-181056_png.jpg,1,train,False,3,0,3,0,0,0,0
-2024-04-08-181056_png_jpg,3,train|valid,True,8,0,8,0,0,0,0
-2024-04-08-181107.png,1,train,False,3,0,3,0,0,0,0
-2024-04-08-181107_png_jpg,3,train,False,18,0,18,0,0,0,0
-2024-04-08-181115.png,1,test,False,3,0,3,0,0,0,0
-2024-04-08-181115_png.jpg,1,train,False,3,0,3,0,0,0,0
