split,class,keypoint_index,keypoint_name,total,visible,occluded,not_labeled,unknown_visibility,out_of_image,out_of_image_pct,out_of_bbox,out_of_bbox_pct,both_out,both_out_pct
test,Angle Bar,1,new-point-0,103,99,4,0,0,3,2.913,5,4.854,3,2.913
test,Angle Bar,2,new-point-1,103,90,13,0,0,16,15.534,16,15.534,9,8.738
test,Angle Bar,3,new-point-3,103,94,9,0,0,17,16.505,15,14.563,11,10.68
test,Channel,1,new-point-0,486,484,2,0,0,0,0.0,0,0.0,0,0.0
test,Channel,2,new-point-1,486,479,7,0,0,0,0.0,0,0.0,0,0.0
test,Channel,3,new-point-2,486,477,9,0,0,0,0.0,0,0.0,0,0.0
test,Channel,4,new-point-3,486,484,2,0,0,0,0.0,0,0.0,0,0.0
test,HI-Beam,1,new-point-0,402,402,0,0,0,0,0.0,0,0.0,0,0.0
test,HI-Beam,2,new-point-1,402,399,3,0,0,0,0.0,4,0.995,0,0.0
test,HI-Beam,3,new-point-2,402,398,4,0,0,0,0.0,2,0.498,0,0.0
test,HI-Beam,4,new-point-3,402,401,1,0,0,0,0.0,0,0.0,0,0.0
test,HI-Beam,5,new-point-4,402,400,2,0,0,0,0.0,2,0.498,0,0.0
test,HI-Beam,6,new-point-5,402,400,2,0,0,0,0.0,4,0.995,0,0.0
test,Sheet Pile,1,new-point-0,56,56,0,0,0,0,0.0,0,0.0,0,0.0
test,Sheet Pile,2,new-point-1,56,56,0,0,0,0,0.0,0,0.0,0,0.0
test,Sheet Pile,3,new-point-2,56,56,0,0,0,0,0.0,0,0.0,0,0.0
test,Sheet Pile,4,new-point-3,56,56,0,0,0,0,0.0,0,0.0,0,0.0
test,T-beam,1,new-point-0,298,293,5,0,0,3,1.007,3,1.007,3,1.007
test,T-beam,2,new-point-1,298,292,6,0,0,6,2.013,8,2.685,4,1.342
test,T-beam,3,new-point-2,298,292,6,0,0,4,1.342,4,1.342,3,1.007
test,T-beam,4,new-point-3,298,297,1,0,0,3,1.007,9,3.02,3,1.007
train,Angle Bar,1,new-point-0,1627,1545,82,0,0,94,5.778,136,8.359,89,5.47
train,Angle Bar,2,new-point-1,1627,1535,92,0,0,115,7.068,149,9.158,101,6.208
train,Angle Bar,3,new-point-3,1627,1496,131,0,0,125,7.683,153,9.404,89,5.47
train,Channel,1,new-point-0,4199,4159,40,0,0,0,0.0,27,0.643,0,0.0
train,Channel,2,new-point-1,4199,4154,45,0,0,2,0.048,12,0.286,2,0.048
train,Channel,3,new-point-2,4199,4158,41,0,0,1,0.024,27,0.643,1,0.024
train,Channel,4,new-point-3,4199,4166,33,0,0,1,0.024,42,1.0,1,0.024
train,HI-Beam,1,new-point-0,2987,2964,23,0,0,0,0.0,0,0.0,0,0.0
train,HI-Beam,2,new-point-1,2987,2919,68,0,0,6,0.201,51,1.707,0,0.0
train,HI-Beam,3,new-point-2,2987,2940,47,0,0,0,0.0,54,1.808,0,0.0
