split,image_id,file_name,annotation_id,class_id,class_name,keypoint,keypoint_name,issue,x,y,visibility,image_width,image_height,bbox,source_group
train,6,000006.jpg,7867,1,T-beam,4,new-point-3,out_of_image_and_out_of_bbox,446.667,643.333,2,640,640,"[313.33, 510, 140.83, 130]",Besi-T-Beam.jpg
train,6,000006.jpg,7875,1,T-beam,2,new-point-1,out_of_image,640,255.754,2,640,640,"[466.15, 228.62, 173.85, 173.56]",Besi-T-Beam.jpg
train,6,000006.jpg,7877,1,T-beam,4,new-point-3,out_of_image,547.725,640,2,640,640,"[440.93, 532.29, 140.83, 107.71]",Besi-T-Beam.jpg
train,6,000006.jpg,7878,1,T-beam,3,new-point-2,out_of_image,50.705,640,2,640,640,"[0, 537, 172, 103]",Besi-T-Beam.jpg
train,6,000006.jpg,7879,1,T-beam,3,new-point-2,out_of_image,166.602,640,2,640,640,"[157.69, 533.86, 142.65, 106.14]",Besi-T-Beam.jpg
train,11,000011.jpg,4141,3,Angle Bar,1,new-point-0,out_of_image_and_out_of_bbox,95.152,-0.712,2,640,640,"[78.54, 0, 94.58, 236.47]",8c41814c-8_jpg
train,11,000011.jpg,4141,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,209.125,-77.177,2,640,640,"[78.54, 0, 94.58, 236.47]",8c41814c-8_jpg
train,11,000011.jpg,4142,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,234.851,-70.538,2,640,640,"[104.27, 0, 94.58, 243.1]",8c41814c-8_jpg
train,11,000011.jpg,4143,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,254.768,-64.729,2,640,640,"[129.17, 0, 89.6, 248.91]",8c41814c-8_jpg
train,11,000011.jpg,4144,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,285.473,-50.622,2,640,640,"[154.89, 0, 93.75, 238.13]",8c41814c-8_jpg
train,11,000011.jpg,4145,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,322.817,-50.622,2,640,640,"[192.24, 0, 72.17, 199.12]",8c41814c-8_jpg
train,11,000011.jpg,4147,3,Angle Bar,1,new-point-0,out_of_bbox,30.715,610.289,2,640,640,"[79.67, 556.23, 83.79, 39.79]",8c41814c-8_jpg
train,11,000011.jpg,4147,3,Angle Bar,2,new-point-1,out_of_image_and_out_of_bbox,104.855,721.238,2,640,640,"[79.67, 556.23, 83.79, 39.79]",8c41814c-8_jpg
train,11,000011.jpg,4148,3,Angle Bar,1,new-point-0,out_of_bbox,35.694,592.032,2,640,640,"[51.45, 537.97, 116.99, 50.58]",8c41814c-8_jpg
train,11,000011.jpg,4148,3,Angle Bar,2,new-point-1,out_of_image_and_out_of_bbox,109.835,702.981,2,640,640,"[51.45, 537.97, 116.99, 50.58]",8c41814c-8_jpg
train,11,000011.jpg,4149,3,Angle Bar,2,new-point-1,out_of_image_and_out_of_bbox,104.855,685.554,2,640,640,"[28.22, 520.55, 135.24, 57.21]",8c41814c-8_jpg
train,11,000011.jpg,4150,3,Angle Bar,2,new-point-1,out_of_image_and_out_of_bbox,76.64,677.255,2,640,640,"[0, 512.25, 135.24, 57.21]",8c41814c-8_jpg
train,11,000011.jpg,4151,3,Angle Bar,1,new-point-0,out_of_bbox,144.114,220.996,1,640,640,"[170.66, 286.44, 53.09, 51.41]",8c41814c-8_jpg
train,11,000011.jpg,4151,3,Angle Bar,3,new-point-3,out_of_bbox,263.067,177.591,1,640,640,"[170.66, 286.44, 53.09, 51.41]",8c41814c-8_jpg
train,11,000011.jpg,4152,3,Angle Bar,1,new-point-0,out_of_bbox,136.645,241.743,1,640,640,"[141.61, 278.97, 74.66, 79.62]",8c41814c-8_jpg
train,11,000011.jpg,4152,3,Angle Bar,3,new-point-3,out_of_bbox,255.598,198.337,1,640,640,"[141.61, 278.97, 74.66, 79.62]",8c41814c-8_jpg
train,11,000011.jpg,4153,3,Angle Bar,1,new-point-0,out_of_bbox,105.94,230.124,1,640,640,"[121.7, 273.16, 63.87, 73.81]",8c41814c-8_jpg
train,11,000011.jpg,4153,3,Angle Bar,3,new-point-3,out_of_bbox,224.893,186.719,1,640,640,"[121.7, 273.16, 63.87, 73.81]",8c41814c-8_jpg
train,11,000011.jpg,4158,3,Angle Bar,1,new-point-0,out_of_bbox,77.725,222.656,1,640,640,"[93.48, 265.69, 63.87, 73.81]",8c41814c-8_jpg
train,11,000011.jpg,4158,3,Angle Bar,3,new-point-3,out_of_bbox,196.678,179.25,1,640,640,"[93.48, 265.69, 63.87, 73.81]",8c41814c-8_jpg
train,11,000011.jpg,4160,3,Angle Bar,2,new-point-1,out_of_image,512.856,640,2,640,640,"[453.58, 511.9, 144.77, 128.1]",8c41814c-8_jpg
train,11,000011.jpg,4160,3,Angle Bar,3,new-point-3,out_of_bbox,599.991,523.644,2,640,640,"[453.58, 511.9, 144.77, 128.1]",8c41814c-8_jpg
train,11,000011.jpg,4161,3,Angle Bar,2,new-point-1,out_of_image,493.723,640,2,640,640,"[431.14, 496.54, 169.57, 143.46]",8c41814c-8_jpg
train,11,000011.jpg,4162,3,Angle Bar,2,new-point-1,out_of_image_and_out_of_bbox,481.123,651.812,2,640,640,"[402.79, 477.64, 190.83, 126.3]",8c41814c-8_jpg
train,11,000011.jpg,4163,3,Angle Bar,2,new-point-1,out_of_image_and_out_of_bbox,457.5,640,2,640,640,"[379.17, 465.83, 190.83, 170]",8c41814c-8_jpg
train,12,000012.jpg,74,1,T-beam,4,new-point-3,out_of_bbox,223.333,224.167,2,640,640,"[149.17, 224.17, 172.5, 183.33]",2b13b33baf8efae5a7c98d265a29d9b_png_jpg
train,14,000014.jpg,7646,2,HI-Beam,2,new-point-1,out_of_image,303.55,500,2,500,500,"[23.13, 170.2, 305.45, 329.8]",img_71.jpg
train,16,000016.jpg,11376,1,T-beam,2,new-point-1,out_of_image,162.062,640,2,640,640,"[127.32, 385.25, 160.44, 254.75]",63425d5759c4599a8fe3dca4673630a_png_jpg
train,16,000016.jpg,11383,1,T-beam,4,new-point-3,out_of_bbox,514.392,121.602,2,640,640,"[491.74, 122.6, 127.93, 213.89]",63425d5759c4599a8fe3dca4673630a_png_jpg
train,17,000017.jpg,140,1,T-beam,4,new-point-3,out_of_bbox,154.4,315.2,2,500,667,"[140.9, 315.7, 28.9, 38.2]",steelbeam148.jpg
train,17,000017.jpg,150,1,T-beam,4,new-point-3,out_of_bbox,223.3,273.4,2,500,667,"[209.3, 273.9, 30, 37.3]",steelbeam148.jpg
train,17,000017.jpg,166,1,T-beam,4,new-point-3,out_of_bbox,243.793,349.987,2,500,667,"[231.82, 349.99, 27.68, 38.52]",steelbeam148.jpg
train,17,000017.jpg,167,1,T-beam,4,new-point-3,out_of_bbox,264.806,352.247,2,500,667,"[251.81, 352.25, 28.24, 37.51]",steelbeam148.jpg
train,17,000017.jpg,200,1,T-beam,4,new-point-3,out_of_bbox,109.066,397.138,2,500,667,"[96.31, 397.14, 27.93, 35.51]",steelbeam148.jpg
train,18,000018.jpg,8085,3,Angle Bar,1,new-point-0,out_of_image_and_out_of_bbox,-85,306.667,2,640,640,"[0, 74.17, 168.33, 386.67]",417_original_png_jpg
train,18,000018.jpg,8090,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,255.833,785.833,1,640,640,"[69.17, 544.17, 100.83, 95.83]",417_original_png_jpg
train,18,000018.jpg,8091,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,231.667,785.833,1,640,640,"[45, 544.17, 100.83, 95.83]",417_original_png_jpg
train,18,000018.jpg,8092,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,207.5,785.833,1,640,640,"[20.83, 544.17, 100.83, 95.83]",417_original_png_jpg
train,18,000018.jpg,8093,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,186.667,783.333,1,640,640,"[0, 541.67, 100.83, 98.33]",417_original_png_jpg
train,18,000018.jpg,8094,3,Angle Bar,1,new-point-0,out_of_image_and_out_of_bbox,-15,618.333,2,640,640,"[0, 541.67, 85, 98.33]",417_original_png_jpg
train,18,000018.jpg,8094,3,Angle Bar,3,new-point-3,out_of_image_and_out_of_bbox,160.833,783.333,1,640,640,"[0, 541.67, 85, 98.33]",417_original_png_jpg
train,18,000018.jpg,8095,3,Angle Bar,3,new-point-3,out_of_bbox,162.5,416.667,1,640,640,"[64.17, 448.33, 100.83, 95.83]",417_original_png_jpg
train,18,000018.jpg,8096,3,Angle Bar,3,new-point-3,out_of_bbox,133.333,414.167,1,640,640,"[35, 445.83, 100.83, 95.83]",417_original_png_jpg
train,18,000018.jpg,8097,3,Angle Bar,3,new-point-3,out_of_bbox,111.667,417.5,1,640,640,"[13.33, 449.17, 100.83, 95.83]",417_original_png_jpg
train,18,000018.jpg,8098,3,Angle Bar,1,new-point-0,out_of_image_and_out_of_bbox,-1.667,466.667,2,640,640,"[0, 461, 88, 82]",417_original_png_jpg
train,18,000018.jpg,8098,3,Angle Bar,3,new-point-3,out_of_bbox,85.833,415.833,1,640,640,"[0, 461, 88, 82]",417_original_png_jpg
train,18,000018.jpg,8102,3,Angle Bar,1,new-point-0,out_of_image_and_out_of_bbox,692.832,308.568,2,640,640,"[551, 215, 89, 188]",417_original_png_jpg
train,18,000018.jpg,8103,3,Angle Bar,2,new-point-1,out_of_bbox,413.213,83.179,2,640,640,"[414.31, 71.55, 90.07, 144.22]",417_original_png_jpg
train,18,000018.jpg,8104,3,Angle Bar,2,new-point-1,out_of_bbox,415.002,26.832,2,640,640,"[415.21, 8.05, 158.04, 233.66]",417_original_png_jpg
train,18,000018.jpg,8105,3,Angle Bar,2,new-point-1,out_of_bbox,481.754,18.782,2,640,640,"[481.96, 0, 158.04, 233.66]",417_original_png_jpg
train,18,000018.jpg,8106,3,Angle Bar,1,new-point-0,out_of_image_and_out_of_bbox,726.253,121.638,2,640,640,"[573.19, 5.37, 66.81, 233.66]",417_original_png_jpg
