source_group,class,keypoints,visible,occluded,out_of_image,out_of_image_pct,out_of_bbox,out_of_bbox_pct,both_out
-2024-04-08-175454.png,HI-Beam,18,17,1,0,0.0,0,0.0,0
-2024-04-08-175552.png,HI-Beam,24,23,1,0,0.0,0,0.0,0
-2024-04-08-175631.png,HI-Beam,12,12,0,0,0.0,0,0.0,0
-2024-04-08-175642.png,HI-Beam,12,12,0,0,0.0,0,0.0,0
-2024-04-08-175651_png.jpg,HI-Beam,18,17,1,1,5.556,0,0.0,0
-2024-04-08-175704.png,HI-Beam,18,18,0,0,0.0,1,5.556,0
-2024-04-08-175704_png.jpg,HI-Beam,18,18,0,0,0.0,0,0.0,0
-2024-04-08-175718_png.jpg,HI-Beam,24,21,3,2,8.333,1,4.167,0
-2024-04-08-175806.png,HI-Beam,48,46,2,0,0.0,2,4.167,0
-2024-04-08-175806_png.jpg,HI-Beam,48,45,3,0,0.0,6,12.5,0
-2024-04-08-175815_png.jpg,HI-Beam,24,19,5,0,0.0,0,0.0,0
-2024-04-08-175838.png,HI-Beam,36,33,3,0,0.0,0,0.0,0
-2024-04-08-175857_png.jpg,HI-Beam,30,29,1,0,0.0,1,3.333,0
-2024-04-08-175906_png.jpg,HI-Beam,12,11,1,0,0.0,1,8.333,0
-2024-04-08-180015_png.jpg,HI-Beam,24,23,1,1,4.167,0,0.0,0
-2024-04-08-180035_png.jpg,HI-Beam,24,23,1,0,0.0,1,4.167,0
-2024-04-08-180059_png.jpg,HI-Beam,18,18,0,0,0.0,0,0.0,0
-2024-04-08-180117.png,HI-Beam,12,12,0,0,0.0,1,8.333,0
-2024-04-08-180117_png.jpg,HI-Beam,18,16,2,1,5.556,0,0.0,0
-2024-04-08-180136_png.jpg,HI-Beam,12,12,0,1,8.333,0,0.0,0
-2024-04-08-180147_png.jpg,HI-Beam,18,17,1,0,0.0,0,0.0,0
-2024-04-08-180157_png.jpg,HI-Beam,18,17,1,1,5.556,0,0.0,0
-2024-04-08-180928.png,T-beam,44,44,0,0,0.0,0,0.0,0
-2024-04-08-180928_png.jpg,T-beam,40,40,0,0,0.0,2,5.0,0
-2024-04-08-180928_png_jpg,T-beam,80,80,0,0,0.0,0,0.0,0
-2024-04-08-180937.png,T-beam,40,40,0,0,0.0,0,0.0,0
-2024-04-08-180937_png,T-beam,40,40,0,0,0.0,0,0.0,0
-2024-04-08-180937_png.jpg,T-beam,40,40,0,0,0.0,5,12.5,0
-2024-04-08-180937_png_jpg,T-beam,44,44,0,0,0.0,0,0.0,0
-2024-04-08-180945_png_jpg,T-beam,120,120,0,0,0.0,2,1.667,0
-2024-04-08-180955.png,T-beam,40,40,0,0,0.0,0,0.0,0
-2024-04-08-180955_png.jpg,T-beam,40,40,0,0,0.0,2,5.0,0
-2024-04-08-180955_png_jpg,T-beam,120,120,0,3,2.5,3,2.5,2
-2024-04-08-181001.png,T-beam,40,40,0,0,0.0,0,0.0,0
-2024-04-08-181001_png,T-beam,40,40,0,0,0.0,0,0.0,0
-2024-04-08-181001_png_jpg,T-beam,40,40,0,0,0.0,0,0.0,0
-2024-04-08-181009.png,T-beam,20,20,0,0,0.0,0,0.0,0
-2024-04-08-181009_png.jpg,T-beam,20,20,0,0,0.0,0,0.0,0
-2024-04-08-181009_png_jpg,T-beam,40,40,0,2,5.0,1,2.5,1
-2024-04-08-181030.png,T-beam,16,16,0,0,0.0,0,0.0,0
-2024-04-08-181030_png.jpg,T-beam,16,16,0,0,0.0,2,12.5,0
-2024-04-08-181030_png_jpg,T-beam,72,72,0,3,4.167,1,1.389,1
-2024-04-08-181047.png,T-beam,20,20,0,0,0.0,0,0.0,0
-2024-04-08-181047_png,T-beam,20,20,0,0,0.0,0,0.0,0
-2024-04-08-181047_png.jpg,T-beam,20,20,0,0,0.0,0,0.0,0
-2024-04-08-181047_png_jpg,T-beam,40,39,1,1,2.5,2,5.0,1
-2024-04-08-181056.png,T-beam,12,12,0,0,0.0,0,0.0,0
-2024-04-08-181056_png.jpg,T-beam,12,11,1,0,0.0,0,0.0,0
