image_id,file_name,width,height,final_split,source_group,annotation_count,negative,Channel,T-beam,HI-Beam,Angle Bar,Sheet Pile
1,000001.jpg,1080,486,train,3335c6b3-082d-4f55-b381-89b6f83418a6.jpg,230,False,230,0,0,0,0
2,000002.jpg,413,225,train,-2024-04-08-181403_png.jpg,5,False,0,5,0,0,0
3,000003.jpg,351,184,test,-2024-04-09-190637.png,6,False,0,6,0,0,0
4,000004.jpg,1080,810,valid,e17dace4-abb1-448e-9bce-f2a36f1a99c4.jpg,0,True,0,0,0,0,0
5,000005.jpg,640,640,train,-2024-04-09-190750_png_jpg,6,False,0,6,0,0,0
6,000006.jpg,640,640,valid,Besi-T-Beam.jpg,18,False,0,18,0,0,0
7,000007.jpg,640,640,train,-2024-04-09-190619_png_jpg,6,False,0,6,0,0,0
8,000008.jpg,1020,574,train,9a4d57a2-0362-4187-bde1-e89688adc324.jpg,154,False,154,0,0,0,0
9,000009.jpg,720,500,valid,63425d5759c4599a8fe3dca4673630a.png,20,False,0,20,0,0,0
10,000010.jpg,640,640,train,-_20230924182518_png_jpg,5,False,0,5,0,0,0
11,000011.jpg,640,640,train,8c41814c-8_jpg,35,False,0,0,0,35,0
12,000012.jpg,640,640,train,2b13b33baf8efae5a7c98d265a29d9b_png_jpg,10,False,0,10,0,0,0
13,000013.jpg,540,960,train,c53f257f-2c37-4a2c-91cf-4bdadea9f7f8.jpg,154,False,154,0,0,0,0
14,000014.jpg,500,500,train,img_71.jpg,1,False,0,0,1,0,0
15,000015.jpg,401,500,train,img_138.jpg,2,False,0,0,2,0,0
16,000016.jpg,640,640,train,63425d5759c4599a8fe3dca4673630a_png_jpg,15,False,0,15,0,0,0
17,000017.jpg,500,667,train,steelbeam148.jpg,146,False,0,146,0,0,0
18,000018.jpg,640,640,train,417_original_png_jpg,22,False,0,0,0,22,0
19,000019.jpg,640,640,train,-2024-04-08-181435_png,5,False,0,5,0,0,0
20,000020.jpg,409,268,train,-2024-04-08-181353.png,5,False,0,5,0,0,0
21,000021.jpg,640,640,train,-2024-04-10-133606_png_jpg,3,False,0,3,0,0,0
22,000022.jpg,640,640,train,103f559751e75f575b7101078f8b0fa_png_jpg,19,False,0,19,0,0,0
23,000023.jpg,640,640,train,-2024-04-08-181332_png_jpg,5,False,0,5,0,0,0
24,000024.jpg,500,500,train,img_49.jpg,1,False,0,0,1,0,0
25,000025.jpg,500,500,train,steelbeam106.jpg,3,False,0,0,3,0,0
26,000026.jpg,540,960,train,29e06fc8-2ab9-4e90-bfac-008bc475bc61.jpg,178,False,178,0,0,0,0
27,000027.jpg,299,340,train,-2024-04-08-181153_png.jpg,10,False,0,10,0,0,0
28,000028.jpg,640,640,train,-_20240404161141_png,7,False,0,7,0,0,0
29,000029.jpg,640,640,train,63425d5759c4599a8fe3dca4673630a_png,19,False,0,19,0,0,0
30,000030.jpg,416,416,train,16c3ab3b-13.jpg,22,False,0,0,0,22,0
31,000031.jpg,640,640,train,-2024-04-09-190611_png_jpg,6,False,0,6,0,0,0
32,000032.jpg,574,1020,train,5572f326-9f86-4e0f-a21d-e961d61bef86.jpg,132,False,0,0,132,0,0
33,000033.jpg,640,640,train,-2024-04-08-181132_png_jpg,10,False,0,10,0,0,0
34,000034.jpg,640,640,test,-_20240404161141_png_jpg,7,False,0,7,0,0,0
35,000035.jpg,640,640,train,-2024-04-08-181132_png_jpg,10,False,0,10,0,0,0
36,000036.jpg,402,426,train,c60978eed390eee904ede0407128e00.png,10,False,0,10,0,0,0
37,000037.jpg,1080,810,train,66a8f315-fca0-4e1a-8cb9-b56f2f2f2602.jpg,0,True,0,0,0,0,0
38,000038.jpg,640,640,train,Harga-Besi-T-Beam_jpg,10,False,0,10,0,0,0
39,000039.jpg,640,640,train,-2024-04-08-181153_png_jpg,10,False,0,10,0,0,0
40,000040.jpg,640,640,train,irii8idx_png_jpg,9,False,0,9,0,0,0
41,000041.jpg,640,640,train,923a108f41cc108b080c4fe180deb58_png_jpg,10,False,0,10,0,0,0
42,000042.jpg,640,640,train,-2024-04-08-181520_png,5,False,0,5,0,0,0
43,000043.jpg,640,640,train,c53b2cdbce75a32fd0107fdacfe80da_png,5,False,0,5,0,0,0
44,000044.jpg,540,960,valid,c31a9bf3-eb7b-472d-9e20-24b75b5eddc5.jpg,146,False,146,0,0,0,0
45,000045.jpg,856,787,train,-_20240404161141.png,7,False,0,7,0,0,0
46,000046.jpg,640,640,train,-2024-04-08-181746_png_jpg,4,False,0,4,0,0,0
47,000047.jpg,640,640,test,-2024-04-08-180928_png_jpg,10,False,0,10,0,0,0
48,000048.jpg,607,1080,train,22066d1d-aea7-451c-a76b-fa428ce913c8.jpg,60,False,0,0,60,0,0
49,000049.jpg,640,640,train,-2024-04-08-181115_png_jpg,4,False,0,4,0,0,0
50,000050.jpg,640,640,train,-_20230708190558_png_jpg,19,False,0,19,0,0,0
51,000051.jpg,416,416,train,16c3ab3b-13.jpg,22,False,0,0,0,22,0
52,000052.jpg,453,288,valid,-_20230924182512_png.jpg,5,False,0,5,0,0,0
53,000053.jpg,169,199,train,-2024-04-10-131903.png,12,False,0,12,0,0,0
54,000054.jpg,640,640,train,-2024-04-08-181549_png_jpg,5,False,0,5,0,0,0
55,000055.jpg,504,1080,train,19574211-ae62-485d-aa2e-390a7a0d8d07.jpg,86,False,0,0,86,0,0
56,000056.jpg,640,640,valid,-_20230708190618_png_jpg,4,False,0,4,0,0,0
57,000057.jpg,347,292,train,-2024-04-08-181520.png,5,False,0,5,0,0,0
58,000058.jpg,640,640,train,-_20230924182503_png_jpg,5,False,0,5,0,0,0
59,000059.jpg,640,640,valid,-2024-04-08-181520_png_jpg,5,False,0,5,0,0,0
60,000060.jpg,474,258,train,-_20230708190603.png,21,False,0,21,0,0,0
61,000061.jpg,640,640,train,-2024-04-08-181047_png,5,False,0,5,0,0,0
62,000062.jpg,640,640,train,-2024-04-10-131727_png_jpg,6,False,0,6,0,0,0
63,000063.jpg,640,640,train,-2024-04-09-190757_png_jpg,6,False,0,6,0,0,0
64,000064.jpg,308,165,valid,-2024-04-08-181545.png,7,False,0,7,0,0,0
65,000065.jpg,963,1280,train,0f986a00-5ce7-4b05-9ba0-8534553d2a51.jpg,52,False,0,0,52,0,0
66,000066.jpg,640,640,train,-2024-04-08-181337_png_jpg,5,False,0,5,0,0,0
67,000067.jpg,640,640,train,1670333703-5cdf9b336c4b445e5e7cfce6_jpg,10,False,0,0,0,10,0
68,000068.jpg,640,640,valid,-_20230924182512_png_jpg,5,False,0,5,0,0,0
69,000069.jpg,640,640,train,-2024-04-10-132132_png_jpg,7,False,0,7,0,0,0
70,000070.jpg,465,503,train,-2024-04-08-181047_png.jpg,5,False,0,5,0,0,0
71,000071.jpg,388,428,train,-2024-04-08-180928_png.jpg,10,False,0,10,0,0,0
72,000072.jpg,753,652,train,9726cfb3c55806a364cf3645086f339_png.jpg,12,False,0,0,12,0,0
73,000073.jpg,640,640,train,-2024-04-08-181435_png_jpg,5,False,0,5,0,0,0
74,000074.jpg,640,640,test,-2024-04-09-190630_png_jpg,5,False,0,5,0,0,0
75,000075.jpg,607,1080,test,5cdadad4-c7de-4861-9742-89a437764a4f.jpg,120,False,0,0,120,0,0
76,000076.jpg,1020,574,train,05180fd3-a4e9-4606-b669-980f5c1790a4.jpg,315,False,0,0,315,0,0
77,000077.jpg,640,640,train,-2024-04-09-190700_png_jpg,5,False,0,5,0,0,0
78,000078.jpg,500,890,train,steelbeam74.jpg,3,False,0,0,3,0,0
79,000079.jpg,212,256,test,-2024-04-08-175906_png.jpg,2,False,0,0,2,0,0
80,000080.jpg,391,447,train,-2024-04-08-180955_png.jpg,10,False,0,10,0,0,0
81,000081.jpg,259,314,train,-2024-04-08-181226_png.jpg,10,False,0,10,0,0,0
82,000082.jpg,416,416,train,og.jpg,88,False,0,0,0,88,0
83,000083.jpg,640,640,valid,-2024-04-08-181520_png_jpg,5,False,0,5,0,0,0
84,000084.jpg,640,640,train,103f559751e75f575b7101078f8b0fa_png_jpg,20,False,0,20,0,0,0
85,000085.jpg,136,129,train,irii8idx.png,9,False,0,9,0,0,0
86,000086.jpg,414,371,test,-2024-04-08-175704_png.jpg,3,False,0,0,3,0,0
87,000087.jpg,640,640,train,-2024-04-08-181724_png_jpg,4,False,0,4,0,0,0
88,000088.jpg,751,500,test,steelbeam134.jpg,35,False,0,0,35,0,0
89,000089.jpg,1080,810,train,94f76c37-4bb3-4a2d-bdba-4ac1cd4c86cf.jpg,21,False,0,0,21,0,0
90,000090.jpg,416,416,train,e327edd1-7.jpg,29,False,0,0,0,29,0
91,000091.jpg,640,640,train,-2024-04-10-133445_png_jpg,6,False,0,6,0,0,0
92,000092.jpg,640,640,train,d5f3ab32-26_jpg,33,False,0,0,0,33,0
93,000093.jpg,347,210,train,-2024-04-08-181115_png.jpg,3,False,0,3,0,0,0
94,000094.jpg,640,640,train,417_original_png_jpg,5,False,0,0,0,5,0
95,000095.jpg,640,640,train,d573a1a8ebd9fed84355b19c820fd55_png,21,False,0,21,0,0,0
96,000096.jpg,640,640,train,-2024-04-08-181302_png_jpg,4,False,0,4,0,0,0
97,000097.jpg,574,1020,train,29f1f335-5da4-4a9b-b638-88294f28e2f8.jpg,46,False,0,0,46,0,0
98,000098.jpg,780,1040,valid,18cf4515-b854-44c9-9f58-1e94104e3d57.jpg,56,False,0,0,0,0,56
99,000099.jpg,466,315,train,-_20230924182503_png.jpg,5,False,0,5,0,0,0
