split,class,keypoint_index,keypoint_name,total,visible,occluded,not_labeled,unknown_visibility,out_of_image,out_of_image_pct,out_of_bbox,out_of_bbox_pct,both_out,both_out_pct
test,Angle Bar,1,new-point-0,173,173,0,0,0,10,5.78,6,3.468,6,3.468
test,Angle Bar,2,new-point-1,173,172,1,0,0,10,5.78,15,8.671,10,5.78
test,Angle Bar,3,new-point-3,173,173,0,0,0,15,8.671,18,10.405,13,7.514
test,Channel,1,new-point-0,598,598,0,0,0,0,0.0,27,4.515,0,0.0
test,Channel,2,new-point-1,598,598,0,0,0,0,0.0,8,1.338,0,0.0
test,Channel,3,new-point-2,598,598,0,0,0,0,0.0,22,3.679,0,0.0
test,Channel,4,new-point-3,598,598,0,0,0,0,0.0,30,5.017,0,0.0
test,HI-Beam,1,new-point-0,375,375,0,0,0,0,0.0,0,0.0,0,0.0
test,HI-Beam,2,new-point-1,375,368,7,0,0,0,0.0,8,2.133,0,0.0
test,HI-Beam,3,new-point-2,375,369,6,0,0,0,0.0,6,1.6,0,0.0
test,HI-Beam,4,new-point-3,375,368,7,0,0,0,0.0,0,0.0,0,0.0
test,HI-Beam,5,new-point-4,375,366,9,0,0,1,0.267,4,1.067,0,0.0
test,HI-Beam,6,new-point-5,375,363,12,0,0,1,0.267,4,1.067,0,0.0
test,Sheet Pile,1,new-point-0,83,83,0,0,0,0,0.0,0,0.0,0,0.0
test,Sheet Pile,2,new-point-1,83,83,0,0,0,0,0.0,0,0.0,0,0.0
test,Sheet Pile,3,new-point-2,83,83,0,0,0,0,0.0,0,0.0,0,0.0
test,Sheet Pile,4,new-point-3,83,83,0,0,0,0,0.0,0,0.0,0,0.0
test,T-beam,1,new-point-0,397,392,5,0,0,1,0.252,1,0.252,1,0.252
test,T-beam,2,new-point-1,397,391,6,0,0,2,0.504,9,2.267,2,0.504
test,T-beam,3,new-point-2,397,393,4,0,0,2,0.504,5,1.259,1,0.252
test,T-beam,4,new-point-3,397,396,1,0,0,2,0.504,9,2.267,0,0.0
train,Angle Bar,1,new-point-0,1393,1319,74,0,0,80,5.743,125,8.973,79,5.671
train,Angle Bar,2,new-point-1,1393,1307,86,0,0,99,7.107,128,9.189,86,6.174
train,Angle Bar,3,new-point-3,1393,1277,116,0,0,95,6.82,121,8.686,64,4.594
train,Channel,1,new-point-0,4547,4505,42,0,0,0,0.0,2,0.044,0,0.0
train,Channel,2,new-point-1,4547,4501,46,0,0,2,0.044,6,0.132,2,0.044
train,Channel,3,new-point-2,4547,4489,58,0,0,1,0.022,6,0.132,1,0.022
train,Channel,4,new-point-3,4547,4501,46,0,0,1,0.022,13,0.286,1,0.022
train,HI-Beam,1,new-point-0,2994,2972,22,0,0,0,0.0,0,0.0,0,0.0
train,HI-Beam,2,new-point-1,2994,2931,63,0,0,6,0.2,48,1.603,0,0.0
train,HI-Beam,3,new-point-2,2994,2949,45,0,0,0,0.0,47,1.57,0,0.0
train,HI-Beam,4,new-point-3,2994,2946,48,0,0,2,0.067,0,0.0,0,0.0
train,HI-Beam,5,new-point-4,2994,2907,87,0,0,8,0.267,85,2.839,0,0.0
train,HI-Beam,6,new-point-5,2994,2917,77,0,0,2,0.067,125,4.175,0,0.0
train,Sheet Pile,1,new-point-0,84,84,0,0,0,0,0.0,0,0.0,0,0.0
train,Sheet Pile,2,new-point-1,84,84,0,0,0,0,0.0,0,0.0,0,0.0
train,Sheet Pile,3,new-point-2,84,84,0,0,0,0,0.0,0,0.0,0,0.0
train,Sheet Pile,4,new-point-3,84,84,0,0,0,0,0.0,0,0.0,0,0.0
train,T-beam,1,new-point-0,3182,3158,24,0,0,15,0.471,13,0.409,12,0.377
train,T-beam,2,new-point-1,3182,3135,47,0,0,46,1.446,72,2.263,31,0.974
train,T-beam,3,new-point-2,3182,3139,43,0,0,48,1.508,58,1.823,26,0.817
train,T-beam,4,new-point-3,3182,3174,8,0,0,14,0.44,54,1.697,7,0.22
valid,Angle Bar,1,new-point-0,173,161,12,0,0,7,4.046,10,5.78,7,4.046
valid,Angle Bar,2,new-point-1,173,155,18,0,0,22,12.717,22,12.717,14,8.092
valid,Angle Bar,3,new-point-3,173,149,24,0,0,32,18.497,29,16.763,23,13.295
valid,Channel,1,new-point-0,553,546,7,0,0,0,0.0,0,0.0,0,0.0
valid,Channel,2,new-point-1,553,538,15,0,0,0,0.0,0,0.0,0,0.0
valid,Channel,3,new-point-2,553,542,11,0,0,0,0.0,0,0.0,0,0.0
valid,Channel,4,new-point-3,553,549,4,0,0,0,0.0,0,0.0,0,0.0
valid,HI-Beam,1,new-point-0,372,371,1,0,0,0,0.0,0,0.0,0,0.0
valid,HI-Beam,2,new-point-1,372,368,4,0,0,0,0.0,11,2.957,0,0.0
valid,HI-Beam,3,new-point-2,372,369,3,0,0,0,0.0,10,2.688,0,0.0
valid,HI-Beam,4,new-point-3,372,350,22,0,0,0,0.0,0,0.0,0,0.0
valid,HI-Beam,5,new-point-4,372,347,25,0,0,0,0.0,3,0.806,0,0.0
valid,HI-Beam,6,new-point-5,372,347,25,0,0,0,0.0,26,6.989,0,0.0
valid,Sheet Pile,1,new-point-0,56,56,0,0,0,0,0.0,0,0.0,0,0.0
valid,Sheet Pile,2,new-point-1,56,56,0,0,0,0,0.0,0,0.0,0,0.0
valid,Sheet Pile,3,new-point-2,56,56,0,0,0,0,0.0,0,0.0,0,0.0
valid,Sheet Pile,4,new-point-3,56,56,0,0,0,0,0.0,0,0.0,0,0.0
valid,T-beam,1,new-point-0,397,397,0,0,0,3,0.756,2,0.504,2,0.504
valid,T-beam,2,new-point-1,397,394,3,0,0,8,2.015,10,2.519,5,1.259
valid,T-beam,3,new-point-2,397,394,3,0,0,6,1.511,4,1.008,2,0.504
valid,T-beam,4,new-point-3,397,394,3,0,0,9,2.267,6,1.511,4,1.008
