split,image_id,file_name,annotation_id,class_id,class_name,occluded,out_of_image,out_of_bbox,malformed
train,6,000006.jpg,7867,1,T-beam,False,True,True,False
train,6,000006.jpg,7875,1,T-beam,False,True,False,False
train,6,000006.jpg,7877,1,T-beam,False,True,False,False
train,6,000006.jpg,7878,1,T-beam,False,True,False,False
train,6,000006.jpg,7879,1,T-beam,False,True,False,False
train,11,000011.jpg,4141,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4142,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4143,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4144,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4145,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4147,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4148,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4149,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4150,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4151,3,Angle Bar,True,False,True,False
train,11,000011.jpg,4152,3,Angle Bar,True,False,True,False
train,11,000011.jpg,4153,3,Angle Bar,True,False,True,False
train,11,000011.jpg,4158,3,Angle Bar,True,False,True,False
train,11,000011.jpg,4160,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4161,3,Angle Bar,False,True,False,False
train,11,000011.jpg,4162,3,Angle Bar,False,True,True,False
train,11,000011.jpg,4163,3,Angle Bar,False,True,True,False
train,12,000012.jpg,74,1,T-beam,False,False,True,False
train,13,000013.jpg,578,0,Channel,True,False,False,False
train,14,000014.jpg,7646,2,HI-Beam,False,True,False,False
train,16,000016.jpg,11376,1,T-beam,False,True,False,False
train,16,000016.jpg,11383,1,T-beam,False,False,True,False
train,17,000017.jpg,140,1,T-beam,False,False,True,False
train,17,000017.jpg,150,1,T-beam,False,False,True,False
train,17,000017.jpg,166,1,T-beam,False,False,True,False
train,17,000017.jpg,167,1,T-beam,False,False,True,False
train,17,000017.jpg,200,1,T-beam,False,False,True,False
train,17,000017.jpg,206,1,T-beam,True,False,False,False
train,17,000017.jpg,207,1,T-beam,True,False,False,False
train,17,000017.jpg,216,1,T-beam,True,False,False,False
train,17,000017.jpg,228,1,T-beam,True,False,False,False
train,18,000018.jpg,8085,3,Angle Bar,False,True,True,False
train,18,000018.jpg,8090,3,Angle Bar,True,True,True,False
train,18,000018.jpg,8091,3,Angle Bar,True,True,True,False
train,18,000018.jpg,8092,3,Angle Bar,True,True,True,False
train,18,000018.jpg,8093,3,Angle Bar,True,True,True,False
train,18,000018.jpg,8094,3,Angle Bar,True,True,True,False
train,18,000018.jpg,8095,3,Angle Bar,True,False,True,False
train,18,000018.jpg,8096,3,Angle Bar,True,False,True,False
train,18,000018.jpg,8097,3,Angle Bar,True,False,True,False
train,18,000018.jpg,8098,3,Angle Bar,True,True,True,False
train,18,000018.jpg,8102,3,Angle Bar,False,True,True,False
train,18,000018.jpg,8103,3,Angle Bar,False,False,True,False
train,18,000018.jpg,8104,3,Angle Bar,False,False,True,False
train,18,000018.jpg,8105,3,Angle Bar,False,False,True,False
train,18,000018.jpg,8106,3,Angle Bar,False,True,True,False
train,23,000023.jpg,10718,1,T-beam,False,True,False,False
train,26,000026.jpg,523,0,Channel,False,False,True,False
train,26,000026.jpg,527,0,Channel,False,False,True,False
train,26,000026.jpg,529,0,Channel,False,False,True,False
train,26,000026.jpg,535,0,Channel,False,False,True,False
train,26,000026.jpg,582,0,Channel,False,False,True,False
train,26,000026.jpg,620,0,Channel,False,False,True,False
train,27,000027.jpg,9067,1,T-beam,False,False,True,False
train,27,000027.jpg,9069,1,T-beam,False,False,True,False
train,27,000027.jpg,9071,1,T-beam,False,False,True,False
train,28,000028.jpg,7996,1,T-beam,False,False,True,False
train,30,000030.jpg,918,3,Angle Bar,True,True,True,False
train,30,000030.jpg,919,3,Angle Bar,False,True,True,False
train,30,000030.jpg,921,3,Angle Bar,True,False,True,False
train,30,000030.jpg,922,3,Angle Bar,True,True,True,False
train,30,000030.jpg,923,3,Angle Bar,True,True,True,False
train,30,000030.jpg,924,3,Angle Bar,True,True,True,False
train,30,000030.jpg,925,3,Angle Bar,True,True,True,False
train,30,000030.jpg,928,3,Angle Bar,True,False,True,False
train,30,000030.jpg,932,3,Angle Bar,False,True,True,False
train,30,000030.jpg,933,3,Angle Bar,False,True,True,False
train,30,000030.jpg,934,3,Angle Bar,False,False,True,False
train,30,000030.jpg,935,3,Angle Bar,False,False,True,False
train,30,000030.jpg,936,3,Angle Bar,False,False,True,False
train,30,000030.jpg,937,3,Angle Bar,False,False,True,False
train,32,000032.jpg,2838,2,HI-Beam,True,False,False,False
train,32,000032.jpg,2840,2,HI-Beam,True,False,False,False
train,32,000032.jpg,2842,2,HI-Beam,True,False,False,False
train,32,000032.jpg,2869,2,HI-Beam,True,False,True,False
train,32,000032.jpg,2870,2,HI-Beam,True,False,True,False
train,32,000032.jpg,2893,2,HI-Beam,False,False,True,False
train,32,000032.jpg,2936,2,HI-Beam,True,False,False,False
train,32,000032.jpg,2937,2,HI-Beam,True,False,False,False
train,32,000032.jpg,2938,2,HI-Beam,True,False,False,False
train,32,000032.jpg,2939,2,HI-Beam,True,False,False,False
train,32,000032.jpg,2940,2,HI-Beam,True,False,False,False
train,32,000032.jpg,2941,2,HI-Beam,True,False,False,False
train,34,000034.jpg,7787,1,T-beam,False,False,True,False
train,40,000040.jpg,11470,1,T-beam,False,True,False,False
train,42,000042.jpg,805,1,T-beam,True,False,False,False
train,42,000042.jpg,807,1,T-beam,True,False,False,False
train,44,000044.jpg,6566,0,Channel,True,False,False,False
train,44,000044.jpg,6648,0,Channel,True,False,False,False
train,44,000044.jpg,6649,0,Channel,True,False,False,False
train,44,000044.jpg,6650,0,Channel,True,False,False,False
train,44,000044.jpg,6651,0,Channel,True,False,False,False
train,44,000044.jpg,6652,0,Channel,True,False,False,False
train,44,000044.jpg,6653,0,Channel,True,False,False,False
train,44,000044.jpg,6677,0,Channel,True,False,False,False
train,44,000044.jpg,6682,0,Channel,True,False,False,False
train,44,000044.jpg,6683,0,Channel,True,False,False,False
train,44,000044.jpg,6686,0,Channel,True,False,False,False
train,44,000044.jpg,6687,0,Channel,True,False,False,False
train,45,000045.jpg,7844,1,T-beam,False,True,True,False
train,46,000046.jpg,5864,1,T-beam,False,False,True,False
train,46,000046.jpg,5865,1,T-beam,False,False,True,False
train,48,000048.jpg,6100,2,HI-Beam,True,False,False,False
train,48,000048.jpg,6102,2,HI-Beam,True,False,False,False
train,48,000048.jpg,6126,2,HI-Beam,False,False,True,False
train,48,000048.jpg,6132,2,HI-Beam,False,False,True,False
train,48,000048.jpg,6133,2,HI-Beam,False,False,True,False
train,48,000048.jpg,6134,2,HI-Beam,False,False,True,False
train,50,000050.jpg,10736,1,T-beam,False,True,False,False
train,50,000050.jpg,10737,1,T-beam,True,False,False,False
train,50,000050.jpg,10738,1,T-beam,False,True,False,False
