epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,86.8767,2.30017,8.8427,0.66743,4.49979,0.03654,29.9289,0.85165,0.06244,0.03776,0.01977,0.60363,0.00856,0.00068,9e-05,2.08431,8.42123,0.6169,4.29088,0.02868,0,0.000367848,0.000367848,0.000367848
2,149.017,1.94773,8.34125,0.5455,3.71732,0.02827,22.1667,0.88677,0.06525,0.10433,0.04895,0.84241,0.02116,0.02631,0.00558,1.90999,7.8865,0.50151,3.35239,0.02541,0,0.000730873,0.000730873,0.000730873
3,211.248,1.78348,7.62971,0.41887,3.17928,0.02601,18.2929,0.39348,0.22034,0.13485,0.06384,0.49743,0.06848,0.0342,0.01116,1.82259,7.36435,0.39917,2.96824,0.02497,0,0.00108657,0.00108657,0.00108657
4,273.206,1.67608,7.1704,0.33765,2.82725,0.02437,17.3064,0.43423,0.24411,0.18597,0.08956,0.28239,0.0694,0.03536,0.01562,1.73329,6.96559,0.33844,2.57132,0.02285,0,0.001078,0.001078,0.001078
5,335.716,1.71091,6.63197,0.3019,2.58075,0.02376,16.1076,0.44225,0.23273,0.16968,0.09075,0.29277,0.12222,0.05,0.01804,1.85256,6.55976,0.30925,2.79728,0.02431,0,0.001067,0.001067,0.001067
6,397.754,1.67781,6.13847,0.26916,2.41979,0.02418,15.4684,0.42592,0.28503,0.21658,0.10363,0.52878,0.13428,0.05652,0.02552,1.792,6.0187,0.28164,2.47087,0.02308,0,0.00105601,0.00105601,0.00105601
7,445.324,1.60993,5.68143,0.22645,2.15638,0.02232,14.6718,0.50113,0.38481,0.25066,0.13069,0.3692,0.21505,0.1129,0.05715,1.64345,5.26328,0.26173,2.37276,0.02146,0,0.00104501,0.00104501,0.00104501
8,480.552,1.52317,4.92148,0.21789,1.97531,0.02153,13.3996,0.52335,0.32397,0.2431,0.1165,0.42738,0.22416,0.13275,0.07065,1.73043,4.93246,0.25899,2.23686,0.02365,0,0.00103401,0.00103401,0.00103401
9,515.738,1.54616,4.66737,0.21479,1.87405,0.02135,12.8452,0.52359,0.3448,0.27349,0.13654,0.40161,0.24276,0.13897,0.06772,1.68386,4.72227,0.2538,2.28526,0.02213,0,0.00102301,0.00102301,0.00102301
10,574.584,1.45577,4.40922,0.19784,1.78417,0.02132,12.5578,0.53308,0.39922,0.34504,0.16088,0.34921,0.19834,0.10719,0.06708,1.68473,5.12275,0.22489,2.51471,0.02213,0,0.00101201,0.00101201,0.00101201
11,637.257,1.46213,4.24701,0.19086,1.65709,0.0209,12.0273,0.59144,0.40457,0.33641,0.16531,0.47582,0.29949,0.19038,0.08864,1.54794,4.26904,0.2237,2.04872,0.02054,0,0.00100101,0.00100101,0.00100101
12,700.524,1.44296,3.96951,0.18885,1.50807,0.0204,11.5466,0.54208,0.40404,0.34833,0.16367,0.43474,0.26388,0.16466,0.08691,1.64989,4.46649,0.21572,2.14449,0.02169,0,0.000990012,0.000990012,0.000990012
13,763.399,1.38415,3.99923,0.17453,1.43699,0.01994,11.507,0.60953,0.42162,0.38447,0.18958,0.39636,0.22846,0.14025,0.07629,1.53685,4.7906,0.20142,1.90095,0.02004,0,0.000979013,0.000979013,0.000979013
14,826.828,1.34171,3.64919,0.16944,1.36066,0.01898,10.9418,0.65487,0.39559,0.36957,0.17425,0.53358,0.30657,0.22934,0.11308,1.63752,4.01726,0.21078,2.14274,0.02214,0,0.000968014,0.000968014,0.000968014
