epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9449,2.67776,8.82894,0.63305,5.00165,0.03141,26.1821,0.23231,0.09848,0.01862,0.00576,0.00049,0.02174,9e-05,2e-05,2.35602,8.64596,0.65263,4.34342,0.03316,0,0.000360588,0.000360588,0.000360588
2,77.0598,2.12621,8.05319,0.54219,2.83876,0.02207,20.2916,0.28068,0.32926,0.10686,0.04265,0.42221,0.02217,0.0078,0.00118,2.11224,8.03978,0.54542,2.93306,0.02387,0,0.000723685,0.000723685,0.000723685
3,101.437,2.07836,7.33717,0.45845,2.54646,0.02189,16.4355,0.20778,0.25609,0.12562,0.05469,0.05803,0.06412,0.02732,0.00733,2.14997,7.61821,0.61481,3.1662,0.02478,0,0.00107945,0.00107945,0.00107945
4,126.653,1.97818,6.88133,0.39583,2.45619,0.02178,15.0611,0.60179,0.28189,0.17367,0.07098,0.47387,0.16097,0.04483,0.02095,2.13621,6.7797,0.40572,3.31132,0.02556,0,0.001078,0.001078,0.001078
5,151.361,1.99385,6.34935,0.35553,2.00478,0.02187,14.0101,0.47641,0.23001,0.19023,0.06023,0.30867,0.08793,0.04612,0.0088,2.01665,6.72908,0.34714,3.18181,0.02255,0,0.001067,0.001067,0.001067
6,173.987,1.89612,5.84322,0.3044,1.77714,0.02053,13.0075,0.33115,0.38368,0.26439,0.11822,0.19027,0.20452,0.08859,0.03252,1.91343,5.71261,0.31773,2.368,0.02181,0,0.00105601,0.00105601,0.00105601
7,199.063,1.78954,5.24468,0.26266,1.60045,0.01873,11.8712,0.56037,0.41685,0.35317,0.16275,0.4464,0.24503,0.1478,0.06169,1.8135,5.31446,0.30863,1.96614,0.02038,0,0.00104501,0.00104501,0.00104501
8,223.896,1.77554,5.21214,0.24513,1.73402,0.01765,11.4052,0.67875,0.29933,0.29509,0.14435,0.62442,0.24024,0.18624,0.09722,1.80053,5.00535,0.29622,1.91959,0.0203,0,0.00103401,0.00103401,0.00103401
9,248.214,1.74926,5.05152,0.23585,1.56377,0.01839,11.5289,0.57771,0.39483,0.33872,0.15697,0.52464,0.28258,0.2016,0.07985,1.8474,4.82282,0.27991,1.88665,0.02027,0,0.00102301,0.00102301,0.00102301
10,270.646,1.68512,4.62435,0.20663,1.49715,0.0196,11.1794,0.61931,0.40403,0.41774,0.18795,0.54644,0.3142,0.24696,0.10967,1.77411,4.46642,0.24843,1.68654,0.02001,0,0.00101201,0.00101201,0.00101201
11,296.936,1.63687,4.55309,0.20281,1.42152,0.01764,10.6452,0.59302,0.44567,0.40072,0.18771,0.44626,0.33423,0.21362,0.09596,1.78215,4.37492,0.23276,1.81376,0.02032,0,0.00100101,0.00100101,0.00100101
12,320.604,1.64052,4.79363,0.21961,1.46552,0.01669,10.7657,0.63263,0.40655,0.40997,0.2036,0.48892,0.28136,0.21959,0.11705,1.66661,4.32956,0.22898,1.61142,0.0182,0,0.000990012,0.000990012,0.000990012
13,346.434,1.55491,4.60225,0.19363,1.32844,0.01681,10.4878,0.68343,0.43634,0.51367,0.2521,0.58824,0.33748,0.30566,0.13473,1.59676,4.20698,0.21932,1.67056,0.01772,0,0.000979013,0.000979013,0.000979013
14,371.447,1.52847,4.35217,0.1797,1.21623,0.01516,9.85151,0.51143,0.53786,0.51451,0.25482,0.46139,0.44623,0.36673,0.16639,1.62577,3.92903,0.20544,1.49268,0.01742,0,0.000968014,0.000968014,0.000968014
15,396.246,1.50325,4.28363,0.1754,1.16898,0.0152,9.82623,0.64559,0.48101,0.54184,0.25052,0.55654,0.36786,0.31975,0.14431,1.70145,4.2147,0.20744,1.56649,0.01935,0,0.000957015,0.000957015,0.000957015
16,419.966,1.47952,4.11471,0.16337,1.113,0.01449,9.4869,0.5214,0.51693,0.50986,0.25339,0.39324,0.36383,0.32236,0.17142,1.55892,3.67884,0.19057,1.41462,0.01694,0,0.000946016,0.000946016,0.000946016
17,446.207,1.46896,3.96678,0.15435,1.07095,0.01497,9.23501,0.69262,0.48012,0.53637,0.28492,0.35403,0.36238,0.30405,0.14727,1.53945,3.77187,0.18086,1.36285,0.01677,0,0.000935018,0.000935018,0.000935018
18,471.247,1.43599,3.73119,0.16248,1.05021,0.01522,9.13721,0.56124,0.63385,0.60196,0.30169,0.43241,0.40122,0.3266,0.15131,1.54837,3.87845,0.19072,1.33063,0.01691,0,0.000924019,0.000924019,0.000924019
