epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8309,2.63548,8.68573,0.63514,4.99422,0.03102,26.0118,0.64677,0.05491,0.03554,0.01299,0.00023,0.0122,2e-05,1e-05,2.38292,8.66588,0.63,5.85036,0.02981,0,0.000360588,0.000360588,0.000360588
2,79.8564,2.14317,8.12694,0.54199,2.95094,0.02276,20.0231,0.46761,0.1352,0.07985,0.03143,0.43964,0.04671,0.01178,0.00256,2.10968,8.25394,0.49552,3.18586,0.02335,0,0.000723685,0.000723685,0.000723685
3,104.942,2.00524,7.2701,0.47739,2.47716,0.02144,16.4163,0.40119,0.27092,0.17189,0.06169,0.27677,0.12438,0.03693,0.01008,2.27576,7.25661,0.41393,3.19595,0.02782,0,0.00107945,0.00107945,0.00107945
4,130.726,1.92138,6.78942,0.3955,2.36346,0.02144,15.1095,0.32477,0.33897,0.24928,0.0923,0.07765,0.1404,0.03442,0.01113,1.97134,6.96033,0.34008,2.58869,0.02214,0,0.001078,0.001078,0.001078
5,155.262,1.93179,6.59046,0.37184,2.0551,0.02233,14.6228,0.39449,0.31689,0.26042,0.10937,0.12999,0.14805,0.07686,0.02278,1.9174,6.19045,0.32894,2.29325,0.02224,0,0.001067,0.001067,0.001067
6,180.597,1.87003,5.80898,0.34013,1.86157,0.02091,13.3246,0.33477,0.38066,0.30865,0.12676,0.14032,0.16685,0.07412,0.02676,1.875,5.71904,0.27689,2.009,0.02103,0,0.00105601,0.00105601,0.00105601
7,205.529,1.85864,5.65556,0.31581,1.748,0.01958,12.487,0.34227,0.37239,0.33523,0.13717,0.26961,0.24723,0.16741,0.05562,1.93288,5.56922,0.28413,2.27155,0.0226,0,0.00104501,0.00104501,0.00104501
8,229.758,1.92316,5.29267,0.27652,1.82664,0.01961,11.4855,0.51755,0.37604,0.28471,0.1067,0.41645,0.28882,0.1485,0.05473,1.9632,4.97415,0.2804,2.06332,0.02287,0,0.00103401,0.00103401,0.00103401
9,252.796,1.77237,5.22607,0.27936,1.68914,0.01981,11.8932,0.59996,0.38927,0.37189,0.14559,0.49506,0.28109,0.25673,0.09122,1.90055,5.33675,0.26247,1.97648,0.02246,0,0.00102301,0.00102301,0.00102301
10,277.552,1.71614,4.85171,0.25331,1.57018,0.02067,11.5027,0.61538,0.39298,0.40967,0.17909,0.37898,0.27967,0.19411,0.08749,1.78369,4.89717,0.25081,1.73447,0.01914,0,0.00101201,0.00101201,0.00101201
11,302.663,1.73496,4.99531,0.26472,1.6152,0.01916,11.5115,0.62402,0.44763,0.5112,0.21457,0.49582,0.34249,0.31449,0.12204,1.74772,4.63408,0.23513,1.72507,0.02048,0,0.00100101,0.00100101,0.00100101
12,327.834,1.74701,4.81137,0.25619,1.55927,0.0184,10.9093,0.57064,0.46588,0.4733,0.17486,0.49767,0.32854,0.25282,0.10645,1.94579,4.94781,0.22373,1.86146,0.02492,0,0.000990012,0.000990012,0.000990012
13,350.683,1.63971,4.7505,0.23941,1.44661,0.01839,10.8914,0.59056,0.49488,0.47456,0.21879,0.36387,0.3759,0.24426,0.10624,1.73348,4.50881,0.20945,1.58603,0.01981,0,0.000979013,0.000979013,0.000979013
14,373.53,1.63801,4.55699,0.22724,1.41127,0.01687,10.2098,0.45804,0.48744,0.47936,0.23188,0.41513,0.40491,0.27827,0.13396,1.69766,4.123,0.19329,1.50956,0.0178,0,0.000968014,0.000968014,0.000968014
15,398.533,1.57632,4.27566,0.22769,1.34534,0.01615,9.88709,0.58605,0.53283,0.53378,0.24983,0.46982,0.40388,0.32994,0.13398,1.65666,4.30937,0.17837,1.6089,0.01835,0,0.000957015,0.000957015,0.000957015
