epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2256,2.17198,8.29962,0.67315,3.63311,0.02656,24.496,0.52271,0.11441,0.09298,0.04515,0.41549,0.0136,0.00219,0.00028,2.27181,8.33729,0.57618,3.08476,0.03202,0,0.000365396,0.000365396,0.000365396
2,54.6379,2.02858,7.75957,0.60754,2.61832,0.02063,17.1301,0.43037,0.15125,0.13939,0.0621,0.24006,0.03491,0.01527,0.0033,1.91202,7.5215,0.53401,3.04758,0.02823,0,0.000728445,0.000728445,0.000728445
3,75.5034,2.02565,7.39678,0.53239,2.35479,0.02077,14.7784,0.25901,0.23748,0.18968,0.07789,0.052,0.07253,0.02177,0.00518,1.84559,7.39217,0.34218,2.77614,0.02624,0,0.00108416,0.00108416,0.00108416
4,95.9589,1.94882,6.91138,0.47329,2.15516,0.02165,14.3155,0.43714,0.34813,0.19748,0.08118,0.26901,0.12865,0.04895,0.0209,2.08829,6.53335,0.28799,3.23559,0.02951,0,0.001078,0.001078,0.001078
5,116.888,1.92136,6.70163,0.4494,2.01934,0.01998,13.2474,0.47022,0.295,0.26044,0.10837,0.3568,0.13531,0.09234,0.02911,1.91569,6.32793,0.27378,2.14751,0.02733,0,0.001067,0.001067,0.001067
6,137.459,1.84824,6.3101,0.41862,1.90202,0.0202,12.7505,0.59617,0.37399,0.4108,0.18218,0.33084,0.1983,0.09749,0.02417,1.81232,6.3088,0.27186,1.91612,0.02637,0,0.00105601,0.00105601,0.00105601
7,157.705,1.79173,6.24359,0.40904,1.88973,0.02015,12.7761,0.29666,0.42666,0.31049,0.13483,0.07674,0.09738,0.0531,0.02175,1.78849,6.03119,0.2562,2.56096,0.02618,0,0.00104501,0.00104501,0.00104501
8,176.726,1.77966,6.16581,0.37302,1.94187,0.01855,12.019,0.53823,0.52073,0.45707,0.1863,0.13273,0.10861,0.07638,0.02737,1.75061,6.33384,0.26982,1.85838,0.02396,0,0.00103401,0.00103401,0.00103401
9,196.962,1.74338,5.72241,0.36794,1.745,0.01835,11.5935,0.63161,0.4055,0.39248,0.18942,0.35118,0.13176,0.08664,0.02985,1.73116,6.06951,0.23774,2.00046,0.02665,0,0.00102301,0.00102301,0.00102301
10,217.168,1.72463,5.79308,0.36459,1.67911,0.01771,11.6698,0.61447,0.41958,0.34366,0.14872,0.3695,0.13638,0.1206,0.03582,1.83238,5.84782,0.2337,2.12328,0.02726,0,0.00101201,0.00101201,0.00101201
11,236.037,1.67494,5.48579,0.36012,1.66117,0.01896,11.7115,0.65541,0.40561,0.47925,0.21094,0.40277,0.15464,0.1425,0.04691,1.67096,5.75253,0.21068,1.68841,0.02346,0,0.00100101,0.00100101,0.00100101
12,256.217,1.69162,5.66594,0.34644,1.56072,0.01594,10.9341,0.56525,0.55727,0.51169,0.2302,0.23153,0.23657,0.17418,0.04919,1.59951,5.53103,0.24139,1.69013,0.02189,0,0.000990012,0.000990012,0.000990012
13,276.456,1.66768,5.48799,0.33994,1.59814,0.01732,10.9067,0.67591,0.44021,0.45119,0.22207,0.44249,0.23079,0.17378,0.05036,1.62666,5.70936,0.21392,1.94788,0.02276,0,0.000979013,0.000979013,0.000979013
14,295.376,1.61643,5.34988,0.3493,1.6042,0.01741,11.1492,0.56305,0.49023,0.49172,0.24858,0.2826,0.25594,0.21464,0.05384,1.62655,5.36709,0.21168,1.65517,0.02297,0,0.000968014,0.000968014,0.000968014
15,315.512,1.56406,5.35458,0.32806,1.52687,0.01698,11.1123,0.60505,0.49102,0.45323,0.23557,0.41709,0.28789,0.21033,0.06149,1.56292,5.50196,0.21798,1.61852,0.02194,0,0.000957015,0.000957015,0.000957015
16,334.797,1.65233,5.25445,0.32888,1.5013,0.01606,10.2097,0.62328,0.52599,0.48297,0.23435,0.49614,0.34198,0.29302,0.09754,1.59927,5.08069,0.21393,1.39821,0.02205,0,0.000946016,0.000946016,0.000946016
17,355.351,1.60742,5.20124,0.31083,1.40557,0.01749,10.5325,0.53632,0.56959,0.50437,0.2661,0.30671,0.35121,0.27621,0.09292,1.4936,5.25695,0.2021,1.46583,0.02135,0,0.000935018,0.000935018,0.000935018
18,376.568,1.54984,5.06663,0.3191,1.4709,0.01722,10.9004,0.48221,0.49116,0.47974,0.24446,0.27539,0.33613,0.28113,0.07953,1.57244,5.24402,0.20216,1.48592,0.02293,0,0.000924019,0.000924019,0.000924019
19,396.676,1.55396,5.14515,0.3128,1.43341,0.01745,10.4973,0.5848,0.53927,0.53604,0.27825,0.25155,0.2901,0.22032,0.06838,1.46466,5.0467,0.18642,1.37396,0.02045,0,0.00091302,0.00091302,0.00091302
20,416.96,1.52382,5.06548,0.2972,1.35772,0.01549,10.2062,0.48932,0.55099,0.49689,0.26288,0.24092,0.19974,0.1837,0.06052,1.53914,5.10282,0.1792,1.39626,0.02178,0,0.000902021,0.000902021,0.000902021
21,437.155,1.56671,4.96619,0.31628,1.41495,0.01608,10.0046,0.68944,0.50018,0.52953,0.27709,0.38141,0.22084,0.1747,0.0621,1.50659,5.04555,0.17688,1.39461,0.0214,0,0.000891022,0.000891022,0.000891022
22,457.286,1.51321,4.97586,0.30812,1.31874,0.01568,10.052,0.60607,0.59076,0.59769,0.31255,0.17204,0.22792,0.18392,0.07026,1.47765,5.06026,0.17246,1.2724,0.02073,0,0.000880023,0.000880023,0.000880023
23,478.593,1.51695,4.78227,0.29098,1.31543,0.01631,9.82937,0.52318,0.49366,0.49196,0.26062,0.23999,0.19328,0.17893,0.06413,1.55596,5.03811,0.17145,1.43802,0.02222,0,0.000869024,0.000869024,0.000869024
24,498.784,1.48693,4.79877,0.28692,1.32508,0.01667,10.0022,0.53256,0.52197,0.56943,0.30083,0.29852,0.32311,0.27124,0.08688,1.46761,4.89401,0.17932,1.34292,0.01975,0,0.000858025,0.000858025,0.000858025
25,520.156,1.51598,5.02978,0.29765,1.24644,0.01524,9.57999,0.51656,0.59405,0.58141,0.31579,0.34774,0.33132,0.31404,0.11431,1.39677,4.70036,0.16818,1.26367,0.01919,0,0.000847026,0.000847026,0.000847026
26,541.28,1.4442,4.68616,0.292,1.26079,0.01596,9.92529,0.66245,0.56222,0.60026,0.32479,0.3416,0.39048,0.3343,0.12581,1.38831,4.67045,0.16488,1.25115,0.01902,0,0.000836027,0.000836027,0.000836027
27,562.538,1.42217,4.92887,0.27592,1.1698,0.01498,9.82498,0.71776,0.51419,0.5571,0.3147,0.54505,0.35787,0.31607,0.11765,1.35898,4.76709,0.17216,1.33194,0.01818,0,0.000825029,0.000825029,0.000825029
28,582.254,1.40271,4.6886,0.27886,1.20046,0.01508,9.65772,0.72773,0.54124,0.5753,0.3117,0.54615,0.40773,0.34719,0.12689,1.44441,4.50459,0.16798,1.20098,0.01965,0,0.00081403,0.00081403,0.00081403
29,601.299,1.41258,4.76154,0.274,1.18752,0.01514,9.67544,0.64014,0.68331,0.68441,0.35666,0.3584,0.3892,0.34549,0.11442,1.42142,4.5338,0.15639,1.18487,0.01925,0,0.000803031,0.000803031,0.000803031
30,621.24,1.45903,4.62277,0.28938,1.23467,0.01606,9.50604,0.62603,0.57672,0.58789,0.31094,0.35299,0.37659,0.32435,0.10964,1.47716,4.79525,0.16494,1.22725,0.02045,0,0.000792032,0.000792032,0.000792032
31,640.13,1.43037,4.55006,0.28413,1.20119,0.01532,9.66288,0.60754,0.60936,0.59836,0.32782,0.27251,0.3346,0.25668,0.09646,1.41275,4.62337,0.17563,1.33547,0.01913,0,0.000781033,0.000781033,0.000781033
32,659.111,1.38839,4.44046,0.27218,1.16495,0.01518,9.38675,0.68423,0.56125,0.59501,0.32985,0.47743,0.29356,0.23674,0.09103,1.36765,4.48935,0.15828,1.17014,0.01885,0,0.000770034,0.000770034,0.000770034
33,677.988,1.36373,4.32333,0.28073,1.1603,0.01576,9.33065,0.66129,0.58639,0.60883,0.3326,0.2459,0.28607,0.2242,0.08705,1.37103,4.59538,0.16444,1.19442,0.01889,0,0.000759035,0.000759035,0.000759035
34,696.939,1.38565,4.501,0.26388,1.13483,0.01456,9.35633,0.73834,0.54771,0.57991,0.32296,0.53788,0.38209,0.32985,0.10694,1.39742,4.36984,0.15027,1.0537,0.01946,0,0.000748036,0.000748036,0.000748036
35,715.983,1.37135,4.48975,0.24415,1.03617,0.01333,8.79196,0.75182,0.52934,0.62434,0.3353,0.49852,0.35896,0.2644,0.09657,1.41249,4.55889,0.15974,1.16574,0.01951,0,0.000737037,0.000737037,0.000737037
36,735.202,1.43055,4.6555,0.26058,1.11356,0.01422,9.10012,0.58621,0.60825,0.60956,0.3519,0.34175,0.36293,0.28955,0.10474,1.32964,4.53904,0.1525,1.04671,0.01848,0,0.000726038,0.000726038,0.000726038
37,754.282,1.36728,4.29547,0.26462,1.04591,0.01434,8.847,0.68343,0.58399,0.61086,0.32087,0.54301,0.33563,0.30284,0.10436,1.42019,4.59219,0.15698,1.1968,0.02006,0,0.00071504,0.00071504,0.00071504
38,773.3,1.34229,4.29316,0.25383,1.09472,0.01449,8.87427,0.76053,0.51861,0.5567,0.33847,0.55285,0.34657,0.29604,0.10568,1.32869,4.33063,0.14313,1.11757,0.01772,0,0.000704041,0.000704041,0.000704041
39,792.307,1.35167,4.24833,0.25756,1.08699,0.01441,9.00319,0.7623,0.54458,0.54891,0.32154,0.5546,0.37766,0.31339,0.11277,1.37013,4.28791,0.13339,1.02501,0.0182,0,0.000693042,0.000693042,0.000693042
40,811.322,1.3904,4.2893,0.26249,1.04936,0.01438,8.68152,0.66305,0.60534,0.64346,0.35868,0.37593,0.408,0.35692,0.12214,1.33189,4.21396,0.14323,1.01002,0.01772,0,0.000682043,0.000682043,0.000682043
41,831.367,1.30977,4.19534,0.25443,1.04373,0.0145,8.91994,0.80345,0.54617,0.64367,0.3642,0.57655,0.41374,0.34444,0.11884,1.32847,4.25142,0.14267,0.92708,0.01801,0,0.000671044,0.000671044,0.000671044
42,851.521,1.29892,4.33003,0.24661,1.0052,0.01379,8.71554,0.75029,0.57029,0.64224,0.36285,0.58603,0.42076,0.36939,0.1231,1.33134,4.24088,0.13453,0.99204,0.01798,0,0.000660045,0.000660045,0.000660045
43,871.66,1.307,4.30252,0.25275,0.98982,0.01437,8.68577,0.62908,0.6905,0.6913,0.39805,0.39269,0.41934,0.36949,0.12146,1.33187,4.15503,0.13266,0.989,0.01862,0,0.000649046,0.000649046,0.000649046
44,892.389,1.29934,4.28635,0.25651,0.97351,0.01359,8.63467,0.69503,0.66124,0.67708,0.38397,0.40376,0.42296,0.38303,0.14231,1.26435,4.07172,0.13294,1.05107,0.01635,0,0.000638047,0.000638047,0.000638047
45,912.28,1.26672,4.25542,0.25568,0.95985,0.01401,8.5697,0.70909,0.61061,0.65874,0.36741,0.39355,0.42124,0.36994,0.13194,1.3114,4.13262,0.13042,1.04266,0.01768,0,0.000627048,0.000627048,0.000627048
46,930.83,1.25752,4.00473,0.24946,0.96004,0.01376,8.48212,0.70972,0.65971,0.69909,0.41109,0.37543,0.425,0.37771,0.13823,1.21896,4.01861,0.13714,0.9604,0.01579,0,0.000616049,0.000616049,0.000616049
47,950.648,1.30357,4.46089,0.22246,0.93751,0.01259,8.38564,0.70356,0.67391,0.68683,0.38888,0.36855,0.39476,0.34383,0.12269,1.2864,4.10193,0.12926,0.94892,0.01723,0,0.000605051,0.000605051,0.000605051
48,968.908,1.27771,4.0939,0.2401,0.96155,0.0134,8.44498,0.70668,0.6861,0.72372,0.43004,0.37264,0.43875,0.36254,0.12352,1.22303,4.06382,0.12444,0.94735,0.01632,0,0.000594052,0.000594052,0.000594052
49,990.041,1.29902,4.31053,0.23269,0.93524,0.01291,8.2581,0.6858,0.65428,0.71034,0.42452,0.39832,0.38952,0.37313,0.13002,1.27762,4.11279,0.1303,0.99644,0.01762,0,0.000583053,0.000583053,0.000583053
50,1011.57,1.28014,4.31219,0.21358,0.88598,0.01175,7.99004,0.70814,0.68008,0.71581,0.40137,0.37816,0.42506,0.39145,0.13666,1.2821,4.01392,0.12139,0.95276,0.0173,0,0.000572054,0.000572054,0.000572054
51,1031.63,1.30108,3.98664,0.24674,0.95029,0.01479,8.50838,0.71344,0.639,0.68187,0.39329,0.42789,0.43814,0.42461,0.14628,1.2536,3.99488,0.12679,0.98158,0.01676,0,0.000561055,0.000561055,0.000561055
52,1051.79,1.27756,4.47402,0.21793,0.91494,0.01185,8.32247,0.72081,0.71182,0.753,0.43613,0.41829,0.47091,0.43705,0.153,1.22684,3.91008,0.12703,0.82522,0.01609,0,0.000550056,0.000550056,0.000550056
53,1072.98,1.28316,4.14538,0.22988,0.91984,0.0124,8.13263,0.73105,0.66054,0.72265,0.44116,0.39915,0.38709,0.38001,0.14195,1.20713,3.93935,0.12302,0.94768,0.01599,0,0.000539057,0.000539057,0.000539057
54,1092.82,1.19437,3.95269,0.22895,0.89247,0.0134,8.34004,0.76069,0.61476,0.70744,0.41929,0.36042,0.41374,0.37196,0.13739,1.23328,3.96065,0.12426,0.91861,0.01607,0,0.000528058,0.000528058,0.000528058
55,1112.78,1.23547,3.99649,0.23288,0.88646,0.01258,7.99059,0.75442,0.65012,0.71672,0.42174,0.3513,0.36721,0.31209,0.12993,1.25907,4.02104,0.11907,0.90399,0.0166,0,0.000517059,0.000517059,0.000517059
56,1132.74,1.25688,4.18727,0.22492,0.91177,0.01189,8.04015,0.71873,0.71374,0.73144,0.43157,0.37832,0.41157,0.34157,0.13493,1.22256,4.01792,0.12141,0.88511,0.01646,0,0.00050606,0.00050606,0.00050606
57,1152.75,1.19847,3.87423,0.22881,0.86553,0.01255,7.8684,0.72118,0.68887,0.71566,0.4189,0.36091,0.41979,0.34954,0.13666,1.21376,3.99314,0.1182,0.9079,0.01585,0,0.000495062,0.000495062,0.000495062
58,1172.64,1.18081,3.79176,0.22883,0.8659,0.01218,7.77057,0.73116,0.68021,0.73419,0.44525,0.40822,0.40427,0.38037,0.13413,1.18953,3.99493,0.11664,0.83919,0.01553,0,0.000484063,0.000484063,0.000484063
59,1192.57,1.19919,4.02552,0.23571,0.84583,0.01225,7.92169,0.76338,0.65719,0.75285,0.44621,0.42623,0.45898,0.42201,0.15381,1.26236,3.88836,0.11335,0.87316,0.01727,0,0.000473064,0.000473064,0.000473064
60,1213.66,1.18853,3.96274,0.21903,0.81106,0.01235,7.79329,0.70852,0.66078,0.71975,0.4405,0.41505,0.46987,0.42548,0.15519,1.1924,3.96837,0.11625,0.86441,0.01582,0,0.000462065,0.000462065,0.000462065
61,1233.59,1.15825,3.85782,0.22824,0.884,0.01246,8.1835,0.71673,0.6902,0.72332,0.43439,0.41379,0.47877,0.4343,0.15602,1.18592,3.90515,0.11964,0.82385,0.01504,0,0.000451066,0.000451066,0.000451066
62,1253.86,1.19917,4.02899,0.20834,0.80776,0.01185,7.47974,0.74383,0.71741,0.76324,0.46586,0.42682,0.47868,0.44143,0.15391,1.16749,3.8646,0.1128,0.788,0.01515,0,0.000440067,0.000440067,0.000440067
63,1275.22,1.20029,4.05714,0.21672,0.81837,0.01129,7.44302,0.69275,0.72073,0.734,0.44404,0.4424,0.50777,0.45246,0.15959,1.15662,3.83999,0.11145,0.78251,0.01546,0,0.000429068,0.000429068,0.000429068
64,1295.44,1.2151,4.03889,0.21398,0.83268,0.01159,7.55263,0.74315,0.69021,0.74234,0.44551,0.43206,0.46766,0.43222,0.16395,1.1754,3.83473,0.116,0.80088,0.01531,0,0.000418069,0.000418069,0.000418069
65,1315.63,1.18081,3.92981,0.21293,0.79033,0.01086,7.26904,0.73406,0.68196,0.72879,0.45196,0.44508,0.47158,0.45904,0.17862,1.16013,3.79432,0.119,0.81871,0.01517,0,0.00040707,0.00040707,0.00040707
66,1336.83,1.11028,3.648,0.22033,0.7857,0.01253,7.50324,0.75857,0.67583,0.73888,0.46048,0.43563,0.47142,0.45273,0.17377,1.13074,3.79738,0.11841,0.78983,0.01435,0,0.000396071,0.000396071,0.000396071
67,1358.24,1.16637,4.01336,0.207,0.79919,0.01078,7.42442,0.7533,0.64919,0.72314,0.43961,0.44152,0.47228,0.45068,0.16581,1.1572,3.81616,0.1184,0.85286,0.01522,0,0.000385073,0.000385073,0.000385073
68,1378.26,1.14036,3.80037,0.2053,0.80991,0.01158,7.37702,0.72699,0.6671,0.71502,0.43787,0.42464,0.48727,0.44,0.16654,1.15999,3.87302,0.11225,0.84347,0.01511,0,0.000374074,0.000374074,0.000374074
